40A;20170927000000001;2;280029320;2018;363563-4;N;;3550;01;220;143;121;0;264;2015;2183906;27;15;0115486446;00000000
40A;20170927000000001;2;280029322;2018;352500-4;S;;589379;11;120;100;628;0;3083;2017;2183906;27;15;0115487446;00000000
40A;20170927000000001;2;280029324;2018;363746-4;N;;2248;01;220;83;167;0;250;2015;2183906;27;15;0115488446;00000000
40A;20170927000000001;2;280029325;2018;370906-4;N;;2064;01;220;80;90;0;170;2015;2183906;27;15;0115489446;00000000
40A;20170927000000001;2;280029326;2018;352049-4;S;;2504;11;220;127;121;0;248;2015;2183906;27;15;0115490446;00000000
40A;20170927000000001;2;280029327;2018;352500-4;S;;589379;11;120;100;628;0;3083;2017;2183906;27;15;0115491446;00000000
40A;20170927000000001;2;280029328;2018;360922-4;N;;4980;01;199;0;0;0;0;2017;0;27;15;0115492446;00000000
40A;20170927000000001;2;280029329;2018;351596-4;S;;469757;11;120;120;728;0;2021;2017;2183909;27;15;0115493446;00000000
40A;20170927000000001;2;280029330;2018;356603-4;N;;1895;01;197;0;0;0;0;2017;0;27;15;0115494446;00000000
40A;20170927000000001;2;280029331;2018;367757-4;N;;847;01;220;215;583;0;798;2015;2183015;27;15;0107091446;00000000
40A;20170927000000001;2;280029332;2018;356278-4;N;;848;01;220;215;585;0;800;2015;2183015;27;15;0107092446;00000000
40A;20170927000000001;2;280029333;2018;363513-4;N;;870;01;220;217;574;0;791;2015;2183015;27;15;0107093446;00000000
40A;20170927000000001;2;280029334;2018;370662-4;N;;1084;01;220;230;226;0;456;2015;2183015;27;15;0107094446;00000000
40A;20170927000000001;2;280029335;2018;359195-4;N;;1788;01;220;272;198;0;470;2015;2183015;27;15;0107095446;00000000
40A;20170927000000001;2;280029336;2018;366355-4;N;;889;01;220;218;501;0;719;2015;2183015;27;15;0107096446;00000000
40A;20170927000000001;2;280029337;2018;354877-4;N;;1129;01;220;232;364;0;596;2015;2183015;27;15;0107097446;00000000
40A;20170927000000001;2;280029338;2018;362123-4;N;;1500;01;220;255;498;0;753;2015;2183015;27;15;0107098446;00000000
40A;20170927000000001;2;280029339;2018;369273-4;N;;792;01;220;212;415;0;627;2015;2183015;27;15;0107099446;00000000
40A;20170927000000001;2;280029340;2018;361385-4;N;;883;01;220;217;623;0;840;2015;2183015;27;15;0107100446;00000000
40A;20170927000000001;2;280029341;2018;368546-4;N;;829;01;220;214;550;0;764;2015;2183015;27;15;0107101446;00000000
40A;20170927000000001;2;280029342;2018;357059-4;N;;1129;01;220;232;430;0;662;2015;2183015;27;15;0107102446;00000000
40A;20170927000000001;2;280029343;2018;364252-4;N;;935;01;220;221;713;0;934;2015;2183015;27;15;0107103446;00000000
40A;20170927000000001;2;280029344;2018;352771-4;N;;828;01;220;214;612;0;826;2015;2183015;27;15;0107104446;00000000
40A;20170927000000001;2;280029345;2018;359969-4;N;;1105;01;220;231;456;0;687;2015;2183015;27;15;0107105446;00000000
40A;20170927000000001;2;280029346;2018;367135-4;N;;931;01;220;220;448;0;668;2015;2183015;27;15;0107106446;00000000
40A;20170927000000001;2;280029347;2018;355662-4;N;;1235;01;220;239;623;0;862;2015;2183015;27;15;0107107446;00000000
40A;20170927000000001;2;280029348;2018;362875-4;N;;1130;01;220;232;669;0;901;2015;2183015;27;15;0107108446;00000000
40A;20170927000000001;2;280029349;2018;370016-4;N;;958;01;220;222;599;0;821;2015;2183015;27;15;0107109446;00000000
40A;20170927000000001;2;280029350;2018;364342-4;N;;1637125;01;120;96;1160;0;4891;2017;2183905;27;15;0107110446;00000000
40A;20170927000000001;2;280029351;2018;352870-4;N;;25140;01;120;60;243;0;352;2017;2183905;27;15;0107111446;00000000
40A;20170927000000001;2;280029352;2018;360083-4;N;;32210;01;120;37;130;0;203;2017;2183905;27;15;0107112446;00000000
40A;20170927000000001;2;280029353;2018;355766-4;N;;42550;01;120;66;278;0;358;2017;2183905;27;15;0107114446;00000000
40A;20170927000000001;2;280029354;2018;362969-4;N;;278772;01;113;0;0;0;284;2017;2183905;27;15;0107115446;00000000
40A;20170927000000001;2;280029354;2018;372254-4;N;;0;03;225;0;250;0;250;2015;0;27;15;0122884446;00000000
40A;20170927000000001;2;280029355;2018;351522-4;N;;70980;01;120;63;104;0;249;2017;2183905;27;15;0107116446;00000000
40A;20170927000000001;2;280029358;2018;358657-4;N;;13750;01;827;0;0;0;0;2013;0;27;15;0107117446;00000000
40A;20170927000000001;2;280029359;2018;365817-4;N;;3010;01;220;155;258;0;413;2015;2183905;27;15;0107118446;00000000
40A;20170927000000001;2;280029360;2018;354329-4;N;;3295;01;220;159;464;0;623;2015;2183905;27;15;0107119446;00000000
40A;20170927000000001;2;280029361;2018;367326-4;N;;2926;01;220;153;255;0;408;2015;2183905;27;15;0107120446;00000000
