09M;20170404000000989;2;280081206;M;6769300.1;590910.7;2;11
09M;20170404000000989;2;280081917;M;6746380.4;579506.4;3;25
09M;20170404000000989;2;280082751;M;6763771.4;594359.1;2;6
09M;20170404000000989;2;280082440;M;6768203.7;593458.7;2;102
09M;20170404000000989;2;280190558;M;6760703.2;584724.1;2;121
09M;20170404000000989;2;280187135;M;6755185.8;569999.7;1;0
09M;20170404000000989;2;280086008;M;6751702.7;597883.5;2;12
09M;20170404000000989;2;280084223;M;6766891.6;590952.8;5;28
09M;20170404000000989;2;280082336;M;6767950.6;590834.2;2;25
09M;20170404000000989;2;280082672;M;6756266.1;591991.8;4;37
09M;20170404000000989;2;280082743;M;6758016;590236.5;5;29
09M;20170404000000989;2;280081657;M;6752563.5;594118.2;2;11
09M;20170404000000989;2;280085348;M;6753517.2;589921.5;3;36
09M;20170404000000989;2;280085739;M;6755441.3;591414.6;5;371
09M;20170404000000989;2;280188849;M;6750365.2;592124.2;1;0
09M;20170404000000989;2;280081859;M;6745686.9;579965.8;2;15
09M;20170404000000989;2;280185516;M;6751399.4;592146.4;2;26
09M;20170404000000989;2;280175712;M;6764040.2;594293.8;2;5
09M;20170404000000989;2;280082602;M;6756527.5;591003.4;1;0
09M;20170404000000989;2;280084128;M;6752816.3;593446.3;3;26
09M;20170404000000989;2;280086029;M;6746283.9;603344.9;1;0
09M;20170404000000989;2;280082483;M;6771171.8;591878.2;8;355
09M;20170404000000989;2;280081441;M;6754105.5;585259.1;4;26
09M;20170404000000989;2;280182944;M;6750003.7;592168.5;1;0
09M;20170404000000989;2;280085199;M;6750648.1;592483.7;5;37
09M;20170404000000989;2;280085509;M;6752413.1;591232.4;2;46
09M;20170404000000989;2;280083486;M;6759838.9;579125.6;2;12
09M;20170404000000989;2;280081652;M;6752449.8;593800.3;3;15
09M;20170404000000989;2;280081363;M;6754830.2;584893.3;3;36
09M;20170404000000989;2;280084964;M;6758810.8;579948.9;2;18
09M;20170404000000989;2;280081247;M;6769050;591205.8;3;13
09M;20170404000000989;2;280179198;M;6754185.1;589540.8;2;26
09M;20170404000000989;2;280081508;M;6753372.2;595332;3;13
09M;20170404000000989;2;280085797;M;6759290.7;577699.1;4;26
09M;20170404000000989;2;280083641;M;6751206.6;592887.7;2;10
09M;20170404000000989;2;280181848;M;6760695;596557.5;2;11
09M;20170404000000989;2;280086030;M;6746313.3;603341.1;2;12
09M;20170404000000989;2;280181873;M;6741820.9;584248.2;3;129
09M;20170404000000989;2;280085100;M;6755340.5;584240.8;2;33
09M;20170404000000989;2;280085669;M;6754652.8;590118.8;2;27
09M;20170404000000989;2;280081379;M;6754676.9;585131.8;4;16
09M;20170404000000989;2;280085258;M;6750809.7;592749.1;2;28
09M;20170404000000989;2;280083213;M;6759714.8;578874.3;3;25
09M;20170404000000989;2;280086127;M;6751647.8;594181.5;1;0
09M;20170404000000989;2;280082588;M;6757657.8;590991.9;6;538
09M;20170404000000989;2;280081409;M;6754258.1;585264;3;15
09M;20170404000000989;2;280084134;M;6752909.1;593501.3;2;15
09M;20170404000000989;2;280081389;M;6754670;584972.6;3;16
09M;20170404000000989;2;280082437;M;6770057.4;591830.3;5;33
09M;20170404000000989;2;280083465;M;6758484.7;578337.9;2;12
09M;20170404000000989;2;280081557;M;6752534.6;593981.6;1;0
09M;20170404000000989;2;280081969;M;6767516.8;596411.8;5;91
09M;20170404000000989;2;280081900;M;6746015.3;580302.8;4;22
09M;20170404000000989;2;280083638;M;6751202.7;592926.9;2;14
09M;20170404000000989;2;280086146;M;6753741.2;597136.3;2;11
09M;20170404000000989;2;280176593;M;6767936.1;593366.1;3;20
09M;20170404000000989;2;280082861;M;6755570;574494;1;0
09M;20170404000000989;2;280082028;M;6767850.1;596190.8;4;33
09M;20170404000000989;2;280188853;M;6750347.6;592070.5;1;0
09M;20170404000000989;2;280082819;M;6755918.1;592497.4;2;28
09M;20170404000000989;2;280080950;M;6750277.2;591629.3;2;25
09M;20170404000000989;2;280084580;M;6745431.3;582345.8;4;93
09M;20170404000000989;2;280085139;M;6750639.4;592349.8;1;0
09M;20170404000000989;2;280080822;M;6751319.2;591979.7;2;16
